date,product,region,customer_segment,quantity,revenue,cost,profit,churn_risk
2024-06-24,Product_D,South,Returning,7,7420,4353.22,3066.78,Medium
2024-03-03,Product_C,North,Returning,7,2247,1305.95,941.05,Low
2024-01-25,Product_A,South,High Value,4,4284,2962.88,1321.12,Low
2024-04-10,Product_C,West,Returning,2,1086,778.11,307.89,Low
2024-04-08,Product_D,East,High Value,1,659,443.07,215.93,Low
2024-02-05,Product_C,North,Returning,17,11458,7704.02,3753.98,Low
2024-01-17,Product_C,West,New,16,6224,3535.99,2688.01,Medium
2024-05-25,Product_A,East,High Value,12,17604,11767.97,5836.03,Low
2024-02-02,Product_D,South,Returning,19,16074,9388.9,6685.1,Low
2024-05-07,Product_D,West,Returning,4,3200,2378.0,822.0,Medium
2024-06-20,Product_C,South,High Value,9,6876,4099.33,2776.67,Low
2024-04-05,Product_B,West,New,7,4956,3551.66,1404.34,Low
2024-02-28,Product_C,North,Returning,17,20825,13224.52,7600.48,Low
2024-02-01,Product_A,East,Returning,4,3608,2592.19,1015.81,Low
2024-03-16,Product_D,East,Returning,10,11950,8001.48,3948.52,High
2024-01-17,Product_D,East,High Value,8,11800,6596.74,5203.26,Low
2024-02-07,Product_B,East,High Value,16,8592,5653.01,2938.99,Low
2024-05-31,Product_A,South,New,13,16432,10011.27,6420.73,Low
2024-06-06,Product_A,South,New,7,5040,3550.42,1489.58,Low
2024-01-16,Product_A,South,High Value,11,8712,6031.04,2680.96,Medium
2024-02-26,Product_C,East,New,5,2150,1462.46,687.54,High
2024-03-14,Product_A,South,Returning,9,8811,5429.16,3381.84,Low
2024-01-27,Product_C,West,High Value,5,1490,995.71,494.29,Low
2024-03-12,Product_D,North,New,3,3480,2180.52,1299.48,High
2024-05-21,Product_D,North,New,3,3684,2439.75,1244.25,Medium
2024-03-17,Product_D,South,Returning,7,6958,4554.34,2403.66,Low
2024-02-13,Product_B,South,Returning,10,10910,6235.92,4674.08,Low
2024-04-17,Product_C,North,New,7,10248,6280.7,3967.3,Low
2024-05-25,Product_C,West,Returning,5,2150,1358.96,791.04,Medium
2024-01-30,Product_B,West,New,4,2896,1637.39,1258.61,Low
2024-02-01,Product_B,West,New,2,1762,1253.88,508.12,Medium
2024-04-26,Product_A,North,New,6,5970,4243.08,1726.92,Low
2024-02-20,Product_D,East,Returning,11,15994,11697.46,4296.54,Low
2024-05-01,Product_A,East,New,13,19266,10623.09,8642.91,Low
2024-06-03,Product_B,North,New,9,4653,2765.84,1887.16,Low
2024-02-08,Product_A,East,High Value,12,10356,7648.75,2707.25,Low
2024-04-12,Product_A,North,New,9,12024,6769.25,5254.75,Low
2024-03-11,Product_C,South,High Value,12,16032,9292.43,6739.57,High
2024-05-15,Product_A,South,Returning,17,3417,2222.88,1194.12,Low
2024-01-18,Product_D,North,High Value,5,7240,4900.54,2339.46,Medium
2024-06-28,Product_D,West,High Value,12,11148,8329.01,2818.99,Low
2024-06-11,Product_A,North,New,4,1608,1003.28,604.72,Low
2024-04-17,Product_D,South,New,6,2874,1851.03,1022.97,High
2024-02-26,Product_B,South,High Value,11,10461,7423.85,3037.15,Low
2024-06-20,Product_B,West,New,6,3978,2220.34,1757.66,Low
2024-03-02,Product_D,North,High Value,4,2408,1666.89,741.11,Medium
2024-05-20,Product_B,South,High Value,7,4816,3314.31,1501.69,Low
2024-04-28,Product_B,West,High Value,18,19278,11133.13,8144.87,Low
2024-04-08,Product_A,North,Returning,18,6300,4147.22,2152.78,Medium
2024-03-09,Product_C,North,New,7,2401,1712.98,688.02,Low
2024-02-27,Product_D,South,New,17,3417,2560.19,856.81,High
2024-01-29,Product_D,West,Returning,5,6300,4577.12,1722.88,Low
2024-06-21,Product_B,East,Returning,9,11898,8210.47,3687.53,Medium
2024-02-15,Product_B,West,New,1,827,468.77,358.23,Low
2024-06-12,Product_C,North,Returning,6,1818,1220.4,597.6,Low
2024-05-21,Product_C,North,Returning,3,1056,581.87,474.13,Low
2024-05-19,Product_D,West,New,18,18378,11756.13,6621.87,High
2024-05-27,Product_D,East,New,4,1440,797.21,642.79,Low
2024-03-22,Product_C,East,New,16,21728,15083.32,6644.68,Low
2024-03-16,Product_D,East,Returning,16,10544,6872.19,3671.81,Medium
2024-02-08,Product_B,West,High Value,14,3318,2474.49,843.51,Low
2024-05-20,Product_B,North,New,8,1808,1281.8,526.2,Low
2024-03-27,Product_A,North,High Value,15,17385,12566.46,4818.54,Low
2024-06-09,Product_B,East,High Value,16,13728,9120.89,4607.11,Medium
2024-05-04,Product_C,East,Returning,17,23715,17503.85,6211.15,High
2024-04-18,Product_C,West,High Value,6,1788,1250.78,537.22,High
2024-02-19,Product_B,South,Returning,17,8517,6330.95,2186.05,High
2024-06-14,Product_A,East,New,1,1339,815.3,523.7,Low
2024-03-02,Product_D,West,Returning,1,1479,957.0,522.0,Low
2024-01-07,Product_B,South,New,10,7650,5272.43,2377.57,Low
2024-01-10,Product_C,North,Returning,18,18954,11784.26,7169.74,Low
2024-02-03,Product_C,South,Returning,10,9840,7082.18,2757.82,Low
2024-04-03,Product_A,North,New,16,20192,12291.24,7900.76,Medium
2024-01-19,Product_B,East,Returning,3,3360,2258.94,1101.06,Low
2024-03-20,Product_D,North,New,7,1645,1167.39,477.61,Medium
2024-01-16,Product_A,East,Returning,14,8386,4697.45,3688.55,High
2024-01-25,Product_A,West,New,15,19725,13132.37,6592.63,Low
2024-03-28,Product_B,East,New,19,14706,10976.09,3729.91,Medium
2024-06-27,Product_A,East,New,17,14977,10701.37,4275.63,Low
